scheduled_iso,host,fault_class,duration_seconds,parameters
2026-11-15T06:58:37+00:00,cnsm-web-06,network_latency,711,delay=200ms
2026-11-15T07:15:06+00:00,cnsm-web-03,cpu_spike,838,cpu=2 load=95
2026-11-15T08:03:16+00:00,cnsm-mem-01,cpu_spike,513,cpu=4 load=85
2026-11-15T08:05:15+00:00,cnsm-db-postgres-02,disk_io,1044,io=4 hdd=4
2026-11-15T10:02:33+00:00,cnsm-web-03,cpu_spike,368,cpu=1 load=90
2026-11-15T10:08:10+00:00,cnsm-io-01,process_leak,433,fork=8
2026-11-15T10:16:01+00:00,cnsm-db-postgres-01,cpu_spike,1690,cpu=4 load=95
2026-11-15T11:04:30+00:00,cnsm-db-redis-02,network_latency,688,delay=100ms
2026-11-15T12:24:57+00:00,cnsm-web-05,cpu_spike,1276,cpu=2 load=85
2026-11-15T12:34:57+00:00,cnsm-db-postgres-01,network_latency,1449,delay=200ms
2026-11-15T13:40:26+00:00,cnsm-db-redis-02,memory_pressure,2009,vm_bytes=1G
2026-11-15T14:23:23+00:00,cnsm-db-postgres-02,disk_io,996,io=2 hdd=2
2026-11-15T14:31:38+00:00,cnsm-web-04,disk_io,717,io=8 hdd=8
2026-11-15T14:53:54+00:00,cnsm-web-04,disk_io,963,io=2 hdd=2
2026-11-15T15:01:58+00:00,cnsm-db-postgres-01,process_leak,383,fork=2
2026-11-15T15:10:14+00:00,cnsm-db-postgres-02,cpu_spike,1555,cpu=1 load=85
2026-11-15T16:18:42+00:00,cnsm-db-redis-01,network_latency,1224,delay=50ms
2026-11-15T16:24:40+00:00,cnsm-web-01,network_latency,1613,delay=200ms
2026-11-15T16:42:25+00:00,cnsm-db-redis-01,disk_io,550,io=4 hdd=4
2026-11-15T16:55:22+00:00,cnsm-web-02,disk_io,954,io=2 hdd=2
2026-11-15T16:57:26+00:00,cnsm-web-03,cpu_spike,1061,cpu=2 load=95
2026-11-15T17:33:52+00:00,cnsm-web-01,network_latency,345,delay=50ms
